d,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7310292358,huntsville / decatur,11769,2014,buick,verano,,4 cylinders,gas,89401,clean,automatic,1G4PP5SK1E4214058,fwd,,sedan,white,al
7310292151,huntsville / decatur,10184,2009,toyota,sienna,,6 cylinders,gas,125058,clean,automatic,5TDZK22C19S250622,fwd,,van,,al
7310291957,huntsville / decatur,9634,2009,toyota,camry,,4 cylinders,gas,98799,clean,other,4T1BE46K79U298817,fwd,,sedan,,al
7310291803,huntsville / decatur,4719,2007,honda,civic,,4 cylinders,gas,299776,clean,automatic,2HGFA16557H313813,fwd,,sedan,silver,al
7310268195,huntsville / decatur,35990,2016,dodge,challenger r/t scat pack,good,,other,18955,clean,other,2C3CDZFJ5GH184898,rwd,,coupe,black,al
7310225176,huntsville / decatur,29890,2017,infiniti,qx70,,6 cylinders,gas,32913,clean,automatic,JN8CS1MW5HM411107,,,SUV,black,al
7310039638,huntsville / decatur,9000,2011,chevrolet,silverado,good,,gas,139718,clean,automatic,,,,,,al
7310037066,huntsville / decatur,5000,2006,gmc,sierra,fair,,gas,165000,clean,automatic,,,,,,al
7310035315,huntsville / decatur,6000,2007,gmc,sierra,good,,gas,219000,clean,automatic,,,,,,al
7309993506,huntsville / decatur,25799,2019,volkswagen,golf alltrack,,,gas,13065,clean,automatic,3VWH17AU9KM517319,,compact,wagon,,al
7309980008,huntsville / decatur,32995,2012,ford,f250 super duty,,,gas,37473,clean,automatic,1FDBF2B63CEC57788,4wd,,,white,al
7309969641,huntsville / decatur,23989,,,a RAV4,,4 cylinders,gas,34929,clean,automatic,2T3RFREV9JW804826,,,SUV,black,al
7309944434,huntsville / decatur,36990,2017,infiniti,q60 red sport 400 coupe,good,6 cylinders,gas,16080,clean,other,JN1FV7EL4HM700067,,,coupe,,al
7309933020,huntsville / decatur,24989,2006,,HUMMER H2,,8 cylinders,gas,124175,clean,automatic,5GRGN22U56H108425,,,SUV,,al
7309930620,huntsville / decatur,17900,2011,chevrolet,silverado 2500,,,gas,184000,clean,automatic,,,,,,al
7309929832,huntsville / decatur,28900,2012,ford,f250,,,gas,85000,clean,automatic,,,,,,al
7309928125,huntsville / decatur,18900,2015,ford,f250,,,gas,180000,clean,automatic,,,,,,al
